smiles,electronic_energy (Hartree),HOMO_LUMO_gap (eV),dipole_moment (Debye),crystal_density (g/cc),heat_of_formation (kcal/mol)
NN=c1cc(O)oc([N+](=O)[O-])c1,0.6261168215689322,-1.8040811015838683,-0.0614238375764453,0.26406692037275137,0.22451816145239617
N=c1ncc(O)cnc1[N+](=O)[O-],0.7749121706385883,-0.41309949336303453,1.0960034013864839,0.3845796356870878,0.8860036136291516
NC(=O)c1cc(N)c([N+](=O)[O-])[nH]1,0.765629358112315,-0.6084000112479993,1.1877756802237274,0.3996437251013815,0.010899903367028098
Cn1ncc(=O)c([N+](=O)[O-])c1O,0.6258012978867615,-0.281948780622767,0.6965618411298711,0.3996437251013815,-0.019597620515673726
N#CC#Cc1nnoc1[N+](=O)[O-],0.7926710797200934,-0.30190649777889395,-1.4049146795425473,0.26406692037275137,1.7672297748212153
C=Nn1cnc(CO)c1[N+](=O)[O-],0.766392199102197,0.37665588552944923,0.7021432552895098,-0.7904193386276892,0.773025098342754
Nc1cc(O)c([N+](=O)[O-])nc1N,0.7656709477691117,-0.7317101922483601,1.0880017279894802,0.5804127980728861,0.07424171682108016
Cc1c([N+](=O)[O-])c(=O)cnn1O,0.6263244727184011,-0.138324494659918,1.1760695284021847,0.6557332451443448,0.423231849897415
O=[N+]([O-])c1nnoc1C=CCO,0.6263249957033773,0.39055500997746784,1.2328221378661202,-0.41381710327038945,0.42250174501650223
Nc1cc2cc([N+](=O)[O-])on2n1,0.7751847396802322,-1.4512571732880382,0.4509796181057732,0.21887465212987686,1.155015972036349
Nc1ncc(O)c([N+](=O)[O-])c1O,0.6256135194606011,-0.7983547120375725,-0.3435569143893264,0.7461177816300971,-0.18766776410180827
Cc1nc(N)c([N+](=O)[O-])c(=O)o1,0.6254446482470251,0.7284106504062018,1.2128179543736102,0.6858614239729289,-0.40134860260554023
CNn1cc([N+](=O)[O-])c(=O)cn1,0.7663878190147991,-0.10268571402397642,1.5270565108658285,-0.8657397856991511,0.7745583185926711
NC1CNc2nc([N+](=O)[O-])oc21,0.7662867445810045,-1.093443815703176,0.5206238124871042,-0.44394528209897355,0.6230511257335305
O=C1Nc2c(O)[nH]c([N+](=O)[O-])c21,0.6347743819125632,-0.8354190438989528,1.1670306010463094,2.4935521536879754,0.42911440922362704
O=[N+]([O-])c1nc(CCO)c(O)[nH]1,0.6171089586893294,-0.3632052004727154,1.6962770852987652,0.6557332451443448,-0.3869759665212847
N=CNc1cc([N+](=O)[O-])cn1O,0.7663254094743186,0.2729470338788576,1.8997270403744404,0.8365023181158495,0.6743253485130662
Nc1cc([N+](=O)[O-])c(=O)n(O)c1,0.6260251665109686,-1.25203638953312,1.3910280631167606,1.7252835935590791,0.11512759015219891
CC(O)Cc1nc([N+](=O)[O-])no1,0.6174952744930335,1.1567887936502301,0.7898653043825906,-1.6942647034852125,-0.0029303690914064587
CCONc1cc([N+](=O)[O-])on1,0.6179926579076942,-0.2406077950850737,0.4549804548042755,-2.2365719223997265,0.49272740449058955
C#CC(=O)c1noc2onnc12,0.9052309333772157,-0.3318430735130861,-0.8228670294789978,-0.2631762091274689,1.0426006805152273
C=Nn1cc([N+](=O)[O-])c(C#N)n1,0.9237864622083265,1.240539928144695,1.0271001026900606,-0.9259961433563193,1.6332346690342556
Nc1cc2c([N+](=O)[O-])ncn2o1,0.7749700568177843,0.09297119166734791,2.431640749092564,2.568872600759434,0.895964330218748
NN=Cn1ccc([N+](=O)[O-])c1O,0.7661374369579174,-0.146877802012545,0.6294860851228872,-0.35356074561322126,0.534562414166895
C=NNCc1nocc1[N+](=O)[O-],0.7666502523111777,-0.5642079232594307,-0.947584469771807,-1.9955464917710537,1.0443007818807815
C=COn1cnc(N)c1[N+](=O)[O-],0.7664956873128038,-0.10660597989392978,-0.629592041809389,-1.1368933951564082,0.8898418792888076
CC(=N)Nc1conc1[N+](=O)[O-],0.7662748676698342,-0.8657120074395039,0.37451918342329066,-1.4833674516851236,0.6962806452890877
CC(C)(O)c1nnoc1[N+](=O)[O-],0.6176763416315595,-0.15151084349521746,-1.2556488955564606,-1.950354223528179,0.2318505004707065
CC=COc1nnc([N+](=O)[O-])[nH]1,0.7662461465488929,-0.4141686567821132,0.691375571335517,-1.4532392728565395,0.6551027300056039
O=CNc1cc(O)c([N+](=O)[O-])[nH]1,0.6255181837458902,-0.23561836579604112,1.2831536513941884,1.333617268787489,-0.34262731004069374
