smiles,h50(exp),h50(calc)
O=C(CCN(CCC(=O)OCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])OCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],29,51
O=[N+]([O-])c1cc([N+](=O)[O-])on1,29,36
O=C(CCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])OC(=O)CCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],30,44
O=C(CCC(=O)OCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])OCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],30,48
O=[N+]([O-])c1ccc(CCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])c([N+](=O)[O-])c1,31,50
O=C(CCC(CC(CC(CCC(=O)OCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])OCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],32,31
C[C@@H](CC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],33,28
O=[N+]([O-])c1cc([N+](=O)[O-])c(/N=N/c2nc(/N=N/c3c([N+](=O)[O-])cc([N+](=O)[O-])cc3[N+](=O)[O-])c([N+](=O)[O-])cc2[N+](=O)[O-])c([N+](=O)[O-])c1,33,55
O=C(CCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])CCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],34,32
O=[N+]([O-])NCCN[N+](=O)[O-],34,26
O=[N+]([O-])NCCC(CCN[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],35,31
O=[N+]([O-])c1cc([N+](=O)[O-])c(-n2nnc3cc([N+](=O)[O-])c([N+](=O)[O-])cc32)c([N+](=O)[O-])c1,35,37
CCN(CC(=O)OCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],35,62
O=[N+]([O-])c1cc([N+](=O)[O-])c(Nc2cn(-c3c([N+](=O)[O-])cc([N+](=O)[O-])cc3[N+](=O)[O-])nn2)c([N+](=O)[O-])c1,35,46
